audit_type,component,rank,verse_id,surah,verse,probability,translation
top_posterior,0,1,2:73,2,73,1.0,"So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows you His signs that you might reason."
top_posterior,0,2,2:28,2,28,1.0,"How can you disbelieve in Allah when you were lifeless and He brought you to life; then He will cause you to die, then He will bring you [back] to life, and then to Him you will be returned."
top_posterior,0,3,39:42,39,42,1.0,"Allah takes the souls at the time of their death, and those that do not die [He takes] during their sleep. Then He keeps those for which He has decreed death and releases the others for a specified term. Indeed in that are signs for a people who give thought."
top_posterior,0,4,23:37,23,37,1.0,"Life is not but our worldly life - we die and live, but we will not be resurrected."
top_posterior,0,5,23:82,23,82,1.0,"They said, ""When we have died and become dust and bones, are we indeed to be resurrected?"
top_posterior,0,6,56:83,56,83,1.0,"Then why, when the soul at death reaches the throat"
top_posterior,0,7,16:21,16,21,1.0,"They are, [in fact], dead, not alive, and they do not perceive when they will be resurrected."
top_posterior,0,8,56:47,56,47,1.0,"And they used to say, ""When we die and become dust and bones, are we indeed to be resurrected?"
top_posterior,0,9,83:4,83,4,1.0,Do they not think that they will be resurrected
top_posterior,0,10,19:66,19,66,1.0,"And the disbeliever says, ""When I have died, am I going to be brought forth alive?"""
core_probability_ge_0.8,0,1,2:73,2,73,1.0,"So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows you His signs that you might reason."
core_probability_ge_0.8,0,2,2:28,2,28,1.0,"How can you disbelieve in Allah when you were lifeless and He brought you to life; then He will cause you to die, then He will bring you [back] to life, and then to Him you will be returned."
core_probability_ge_0.8,0,3,39:42,39,42,1.0,"Allah takes the souls at the time of their death, and those that do not die [He takes] during their sleep. Then He keeps those for which He has decreed death and releases the others for a specified term. Indeed in that are signs for a people who give thought."
core_probability_ge_0.8,0,4,23:37,23,37,1.0,"Life is not but our worldly life - we die and live, but we will not be resurrected."
core_probability_ge_0.8,0,5,23:82,23,82,1.0,"They said, ""When we have died and become dust and bones, are we indeed to be resurrected?"
core_probability_ge_0.8,0,6,56:83,56,83,1.0,"Then why, when the soul at death reaches the throat"
core_probability_ge_0.8,0,7,16:21,16,21,1.0,"They are, [in fact], dead, not alive, and they do not perceive when they will be resurrected."
core_probability_ge_0.8,0,8,56:47,56,47,1.0,"And they used to say, ""When we die and become dust and bones, are we indeed to be resurrected?"
core_probability_ge_0.8,0,9,83:4,83,4,1.0,Do they not think that they will be resurrected
core_probability_ge_0.8,0,10,19:66,19,66,1.0,"And the disbeliever says, ""When I have died, am I going to be brought forth alive?"""
top_posterior,1,1,53:33,53,33,1.0,Have you seen the one who turned away
top_posterior,1,2,80:12,80,12,0.9999923,So whoever wills may remember it.
top_posterior,1,3,7:183,7,183,0.99997705,"And I will give them time. Indeed, my plan is firm."
top_posterior,1,4,68:45,68,45,0.99997705,"And I will give them time. Indeed, My plan is firm."
top_posterior,1,5,86:15,86,15,0.9999695,"Indeed, they are planning a plan,"
top_posterior,1,6,19:84,19,84,0.9999543,So be not impatient over them. We only count out to them a [limited] number.
top_posterior,1,7,78:1,78,1,0.9999543,About what are they asking one another?
top_posterior,1,8,69:25,69,25,0.9999543,"But as for he who is given his record in his left hand, he will say, ""Oh, I wish I had not been given my record"
top_posterior,1,9,68:52,68,52,0.9999466,But it is not except a reminder to the worlds.
top_posterior,1,10,70:5,70,5,0.99992365,So be patient with gracious patience.
core_probability_ge_0.8,1,1,53:33,53,33,1.0,Have you seen the one who turned away
core_probability_ge_0.8,1,2,80:12,80,12,0.9999923,So whoever wills may remember it.
core_probability_ge_0.8,1,3,7:183,7,183,0.99997705,"And I will give them time. Indeed, my plan is firm."
core_probability_ge_0.8,1,4,68:45,68,45,0.99997705,"And I will give them time. Indeed, My plan is firm."
core_probability_ge_0.8,1,5,86:15,86,15,0.9999695,"Indeed, they are planning a plan,"
core_probability_ge_0.8,1,6,19:84,19,84,0.9999543,So be not impatient over them. We only count out to them a [limited] number.
