surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,component_probability_12,component_probability_13,component_probability_14,component_probability_15,component_probability_16,component_probability_17,component_probability_18,component_probability_19,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",2.2085153e-07,6.2958505e-05,0.7892386,1.7761208e-09,2.5882311e-05,2.8292096e-22,3.0472833e-07,2.139489e-07,7.976192e-09,1.8226806e-06,0.13351795,0.0008498573,1.3659998e-06,1.9660313e-09,0.07626977,1.0923724e-08,4.432809e-06,0.0,1.1958527e-08,2.4481149e-05,2,0.6591820396807302
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",6.0446065e-10,1.1611944e-06,7.260979e-05,1.173976e-08,1.0007415e-05,5.7428096e-28,3.984564e-06,7.726173e-06,3.5828838e-09,8.415415e-09,0.013108485,0.00017459295,4.757079e-10,3.8453232e-10,0.98661685,1.0733456e-10,1.9283598e-07,0.0,7.122721e-10,3.739013e-06,14,0.07263638470102256
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",8.504299e-07,0.010411125,0.8983112,1.7930404e-06,4.3264635e-11,1.2912561e-07,5.2001325e-10,2.7755302e-11,1.3640496e-10,1.0133031e-05,0.082101904,3.9449387e-06,6.230714e-07,4.732407e-11,6.82083e-11,4.7297158e-12,2.4382496e-09,0.0,2.545271e-10,0.00915972,2,0.3922954004529092
1,4,1:4,Sovereign of the Day of Recompense.,1.6666969e-10,0.05426191,6.994882e-08,1.5562828e-05,8.8261363e-11,1.985591e-08,1.682941e-06,7.759062e-17,2.9550775e-11,1.1454492e-05,0.020437874,0.42799965,2.0923256e-10,7.131507e-09,7.3444105e-13,1.5156407e-11,2.5641772e-10,0.0,1.2855019e-13,0.49727303,19,0.948570505792937
1,5,1:5,It is You we worship and You we ask for help.,3.0721278e-10,0.02274363,6.8583326e-08,1.5983564e-06,1.990273e-05,4.815936e-14,1.6834733e-07,3.898045e-12,7.536249e-10,1.1148992e-09,0.97686476,2.0499183e-08,5.8884837e-08,3.7348183e-08,3.651563e-06,1.2405377e-09,3.6164283e-10,0.0,6.728095e-15,0.00036810205,10,0.1121143286140833
1,6,1:6,Guide us to the straight path -,6.961084e-13,0.99266475,3.0709264e-14,3.7847996e-09,6.5784435e-12,3.378447e-05,8.503503e-11,8.457408e-10,1.8813734e-11,1.8267339e-11,0.0073001464,2.7947966e-08,9.29301e-09,8.816444e-11,3.3298128e-13,3.1877986e-11,7.383601e-12,0.0,2.719602e-13,2.0048146e-10,1,0.04357256930865174
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",1.200006e-09,0.053024754,3.9556815e-07,2.3287173e-08,7.895252e-07,1.1152745e-07,1.7698115e-08,3.4777294e-08,1.7847716e-11,7.612536e-08,0.94690377,2.3463192e-08,3.1066775e-05,3.41699e-07,2.9859148e-08,1.3780119e-05,1.2869218e-10,0.0,5.3364986e-12,2.75102e-05,10,0.208187404828077
2,1,2:1,"Alif, Lam, Meem.",1.5970521e-06,0.9169167,2.1379436e-10,1.3750909e-07,1.7351393e-05,1.896189e-09,1.4982378e-07,0.0030460109,2.2569549e-11,8.18175e-07,0.07989345,7.6245174e-06,2.4830924e-06,1.9427938e-08,5.16533e-05,9.256882e-10,7.716033e-08,0.0,6.171846e-11,6.3475054e-05,1,0.3005505199724573
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",4.9458175e-13,4.8012267e-13,1.6126697e-13,6.80094e-15,1.316386e-09,8.67e-43,5.3107508e-11,0.9999962,1.2230203e-17,5.1581003e-14,1.8647283e-08,9.397989e-11,3.27518e-11,7.9921565e-15,3.3686392e-06,1.7496761e-12,6.3449926e-11,0.0,1.2653095e-16,8.6991875e-10,7,4.6645892027151165e-05
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",2.2625901e-13,0.004303929,1.2321697e-11,9.1224495e-09,7.6860607e-10,6.605135e-16,0.003452873,5.208574e-16,7.9923614e-17,2.9125915e-13,0.028844457,2.6561275e-12,1.073417e-14,2.1676435e-13,7.974887e-08,8.5018077e-13,1.9759173e-10,0.0,2.3885473e-08,0.96340173,19,0.18122145473295959
