audit_type,component,rank,verse_id,surah,verse,probability,translation
top_posterior,0,1,15:61,15,61,0.99988174,"And when the messengers came to the family of Lot,"
top_posterior,0,2,16:113,16,113,0.9998474,"And there had certainly come to them a Messenger from among themselves, but they denied him; so punishment overtook them while they were wrongdoers."
top_posterior,0,3,37:83,37,83,0.9997024,"And indeed, among his kind was Abraham,"
top_posterior,0,4,26:105,26,105,0.999611,The people of Noah denied the messengers
top_posterior,0,5,12:58,12,58,0.99960333,"And the brothers of Joseph came [seeking food], and they entered upon him; and he recognized them, but he was to them unknown."
top_posterior,0,6,50:12,50,12,0.99950033,"The people of Noah denied before them, and the companions of the well and Thamud"
top_posterior,0,7,37:123,37,123,0.99943167,"And indeed, Elias was from among the messengers,"
top_posterior,0,8,6:85,6,85,0.9992526,And Zechariah and John and Jesus and Elias - and all were of the righteous.
top_posterior,0,9,37:139,37,139,0.9992145,"And indeed, Jonah was among the messengers."
top_posterior,0,10,19:41,19,41,0.9991763,"And mention in the Book [the story of] Abraham. Indeed, he was a man of truth and a prophet."
core_probability_ge_0.8,0,1,15:61,15,61,0.99988174,"And when the messengers came to the family of Lot,"
core_probability_ge_0.8,0,2,16:113,16,113,0.9998474,"And there had certainly come to them a Messenger from among themselves, but they denied him; so punishment overtook them while they were wrongdoers."
core_probability_ge_0.8,0,3,37:83,37,83,0.9997024,"And indeed, among his kind was Abraham,"
core_probability_ge_0.8,0,4,26:105,26,105,0.999611,The people of Noah denied the messengers
core_probability_ge_0.8,0,5,12:58,12,58,0.99960333,"And the brothers of Joseph came [seeking food], and they entered upon him; and he recognized them, but he was to them unknown."
core_probability_ge_0.8,0,6,50:12,50,12,0.99950033,"The people of Noah denied before them, and the companions of the well and Thamud"
core_probability_ge_0.8,0,7,37:123,37,123,0.99943167,"And indeed, Elias was from among the messengers,"
core_probability_ge_0.8,0,8,6:85,6,85,0.9992526,And Zechariah and John and Jesus and Elias - and all were of the righteous.
core_probability_ge_0.8,0,9,37:139,37,139,0.9992145,"And indeed, Jonah was among the messengers."
core_probability_ge_0.8,0,10,19:41,19,41,0.9991763,"And mention in the Book [the story of] Abraham. Indeed, he was a man of truth and a prophet."
top_posterior,1,1,28:16,28,16,1.0,"He said, ""My Lord, indeed I have wronged myself, so forgive me,"" and He forgave him. Indeed, He is the Forgiving, the Merciful."
top_posterior,1,2,9:117,9,117,1.0,"Allah has already forgiven the Prophet and the Muhajireen and the Ansar who followed him in the hour of difficulty after the hearts of a party of them had almost inclined [to doubt], and then He forgave them. Indeed, He was to them Kind and Merciful."
top_posterior,1,3,9:118,9,118,1.0,"And [He also forgave] the three who were left behind [and regretted their error] to the point that the earth closed in on them in spite of its vastness and their souls confined them and they were certain that there is no refuge from Allah except in Him. Then He turned to them so they could repent. Indeed, Allah is the Accepting of repentance, the Merciful."
top_posterior,1,4,11:90,11,90,1.0,"And ask forgiveness of your Lord and then repent to Him. Indeed, my Lord is Merciful and Affectionate."""
top_posterior,1,5,9:27,9,27,1.0,Then Allah will accept repentance after that for whom He wills; and Allah is Forgiving and Merciful.
