surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",0.0,2.4099828e-15,2.7715878e-08,1.6703906e-08,0.38428336,0.0013762482,0.5901705,0.024172632,6,0.7777932793809677
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",0.0,2.4244257e-20,5.428055e-09,8.540666e-10,0.009917628,0.00012591876,0.9897456,0.00021139938,6,0.058875689775120095
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",0.0,1.2955204e-05,6.5883954e-10,1.5070061e-09,0.93743694,1.8692606e-05,1.4025057e-08,0.06253279,4,0.234258372743123
1,4,1:4,Sovereign of the Day of Recompense.,0.0,5.3540217e-09,3.9710515e-10,3.9750567e-08,0.2831626,0.48468384,7.9978156e-11,0.23215146,5,1.047338976616051
1,5,1:5,It is You we worship and You we ask for help.,0.0,1.1239471e-10,1.3024153e-09,1.5433929e-07,0.9178687,1.46202925e-08,9.532297e-05,0.08203867,4,0.2846904506251548
1,6,1:6,Guide us to the straight path -,0.0,0.00011285734,3.7868916e-10,1.2602464e-09,0.016249305,2.558153e-07,1.0740008e-10,0.9836406,7,0.08419690594422265
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",0.0,2.5068588e-05,4.5670766e-11,2.1705225e-06,0.9233048,2.1570423e-07,8.9097773e-07,0.07666999,4,0.27089283091256605
2,1,2:1,"Alif, Lam, Meem.",0.0,2.568714e-07,2.5854405e-11,3.5726362e-08,0.027177397,6.874685e-06,0.00023774436,0.972574,7,0.12710103682522886
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",0.0,1.6089486e-25,3.787319e-13,1.9970148e-09,0.00025290094,1.8820672e-06,0.9996224,0.00012204231,6,0.003596771642082939
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",0.0,9.211081e-12,3.823563e-15,2.8440269e-12,0.7747413,3.8138273e-10,2.0151168e-05,0.22524078,4,0.5336927037678374
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",0.0,3.9019657e-23,3.8975824e-13,8.579983e-10,0.0020435757,1.5508054e-07,0.99773663,0.00022003197,6,0.016772280271961548
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",0.0,4.88023e-10,8.500872e-12,5.727461e-10,0.9883874,1.5167016e-08,1.6460016e-06,0.011609221,4,0.06329729417045502
2,6,2:6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",0.0,2.6449682e-17,1.1699091e-06,9.054191e-08,0.74917114,8.724553e-08,0.2334409,0.017384214,4,0.6264305344492205
2,7,2:7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",0.0,6.47309e-21,1.4126619e-12,4.3068535e-10,0.0037976247,3.871425e-07,0.994173,0.0020290806,6,0.039561978588066725
2,8,2:8,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",0.0,1.6668396e-22,1.3235486e-13,9.786502e-11,0.004637141,0.011727354,0.9814816,0.0021504085,6,0.10861011574152742
2,9,2:9,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.",0.0,4.522231e-17,1.8239565e-10,4.2434518e-08,0.02568025,1.0735069e-07,0.8593746,0.114947855,6,0.47294693393418324
2,10,2:10,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.",0.0,8.156937e-16,3.332816e-11,4.735569e-10,0.011777654,5.734813e-08,0.91737163,0.07085299,6,0.3189869106740809
2,11,2:11,"And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""",0.0,2.208465e-07,3.2642059e-10,1.1818896e-07,0.53808254,1.34949705e-08,3.7742205e-07,0.46191382,4,0.6902557411438112
2,12,2:12,"Unquestionably, it is they who are the corrupters, but they perceive [it] not.",0.0,4.4965205e-07,3.4435198e-11,2.7873557e-07,0.2615651,4.4979412e-08,3.673286e-07,0.7384346,7,0.5747047845188654
2,13,2:13,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.",0.0,1.631762e-11,7.2699607e-12,2.3124566e-07,0.9277676,1.2855746e-07,0.002179811,0.0700489,4,0.2691523829637677
2,14,2:14,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers.""",0.0,3.9420606e-16,1.2398173e-11,1.067846e-07,0.9836706,1.5186584e-08,0.011731022,0.0045997915,4,0.09310271615791836
2,15,2:15,[But] Allah mocks them and prolongs them in their transgression [while] they wander blindly.,0.0,8.1979284e-23,3.6672585e-11,2.7580427e-10,0.0021042034,2.8179753e-07,0.99775946,0.00013434798,6,0.01640993416037309
2,16,2:16,"Those are the ones who have purchased error [in exchange] for guidance, so their transaction has brought no profit, nor were they guided.",0.0,2.660009e-06,1.1762946e-14,1.4873353e-11,0.16619876,4.590051e-08,3.66191e-08,0.8337991,7,0.4498446352071051
