surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",0.00013625143,0.6713427,0.3240907,0.0028209062,1.8500086e-19,1.4018317e-08,7.718826e-09,3.673258e-07,1.260109e-06,0.0,0.0015993773,9.431702e-06,1,0.6608795547989567
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",7.55838e-05,0.9922823,0.0073521556,3.9773073e-05,2.794005e-25,4.3234154e-09,7.9494566e-10,5.9286776e-06,2.3476687e-10,0.0,0.00024483778,1.6285875e-07,1,0.04703737469427573
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",0.0005300367,1.3243506e-07,0.9581898,0.0412595,3.5830947e-06,2.9612066e-10,6.1830424e-10,1.1835126e-09,1.2150658e-06,0.0,1.7418506e-05,5.6869904e-09,2,0.17670624639019067
1,4,1:4,Sovereign of the Day of Recompense.,1.1498522e-07,1.5377847e-09,0.09657303,0.15699168,4.876513e-08,6.451725e-11,1.6542838e-08,4.8404886e-06,2.933839e-10,0.0,0.74643266,4.275979e-10,10,0.7347714672838207
1,5,1:5,It is You we worship and You we ask for help.,0.00065293186,0.00030070904,0.96305627,0.035986356,4.1796452e-13,8.838101e-10,7.890641e-08,1.4643686e-07,2.1301469e-08,0.0,3.941896e-08,2.3307054e-10,2,0.1631254002800822
1,6,1:6,Guide us to the straight path -,2.201409e-06,1.2412477e-09,0.0019170247,0.9980716,1.0143241e-05,4.878608e-11,3.1696962e-10,2.729719e-10,1.1711581e-08,0.0,8.428174e-08,1.8972723e-11,3,0.01406825304206971
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",9.284628e-06,8.724229e-06,0.83136,0.16857532,9.003394e-07,2.8284161e-11,1.2030374e-06,2.9369097e-08,4.0941322e-05,0.0,1.3286416e-07,2.1062918e-10,2,0.4543271510682849
2,1,2:1,"Alif, Lam, Meem.",8.8440924e-05,0.001701217,0.009618804,0.98858345,8.657083e-09,2.1199377e-11,2.5791108e-08,1.5342121e-07,1.0102805e-06,0.0,4.5807155e-06,2.6241866e-08,3,0.06776803386300194
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",1.6455691e-05,0.9999161,5.991842e-05,1.5772661e-06,3.0591095e-34,2.564692e-13,1.2691037e-09,1.1686423e-06,5.0634867e-07,0.0,3.365929e-06,1.6591517e-06,1,0.0009566352048706419
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",1.0501854e-05,5.112597e-05,0.86192894,0.10732727,8.695288e-14,5.7373713e-16,1.9537896e-12,0.030685797,2.6778355e-14,0.0,3.7638775e-10,1.5325142e-09,2,0.4751418600879734
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",5.7135094e-05,0.99908876,0.0008388514,1.3242761e-05,2.291234e-29,2.5613385e-13,7.653905e-10,7.637455e-10,1.4550673e-10,0.0,2.8846807e-07,8.0149306e-08,1,0.007565452602486946
