audit_type,component,rank,verse_id,surah,verse,probability,translation
top_posterior,0,1,44:38,44,38,0.99997705,And We did not create the heavens and earth and that between them in play.
top_posterior,0,2,36:81,36,81,0.99997336,"Is not He who created the heavens and the earth Able to create the likes of them? Yes, [it is so]; and He is the Knowing Creator."
top_posterior,0,3,15:23,15,23,0.9999543,"And indeed, it is We who give life and cause death, and We are the Inheritor."
top_posterior,0,4,24:64,24,64,0.9999543,"Unquestionably, to Allah belongs whatever is in the heavens and earth. Already He knows that upon which you [stand] and [knows] the Day when they will be returned to Him and He will inform them of what they have done. And Allah is Knowing of all things."
top_posterior,0,5,3:109,3,109,0.9999161,To Allah belongs whatever is in the heavens and whatever is on the earth. And to Allah will [all] matters be returned.
top_posterior,0,6,37:16,37,16,0.9999008,"When we have died and become dust and bones, are we indeed to be resurrected?"
top_posterior,0,7,4:132,4,132,0.9998856,And to Allah belongs whatever is in the heavens and whatever is on the earth. And sufficient is Allah as Disposer of affairs.
top_posterior,0,8,17:49,17,49,0.9998856,"And they say, ""When we are bones and crumbled particles, will we [truly] be resurrected as a new creation?"""
top_posterior,0,9,23:37,23,37,0.9998779,"Life is not but our worldly life - we die and live, but we will not be resurrected."
top_posterior,0,10,23:14,23,14,0.9998627,"Then We made the sperm-drop into a clinging clot, and We made the clot into a lump [of flesh], and We made [from] the lump, bones, and We covered the bones with flesh; then We developed him into another creation. So blessed is Allah, the best of creators."
core_probability_ge_0.8,0,1,44:38,44,38,0.99997705,And We did not create the heavens and earth and that between them in play.
core_probability_ge_0.8,0,2,36:81,36,81,0.99997336,"Is not He who created the heavens and the earth Able to create the likes of them? Yes, [it is so]; and He is the Knowing Creator."
core_probability_ge_0.8,0,3,15:23,15,23,0.9999543,"And indeed, it is We who give life and cause death, and We are the Inheritor."
core_probability_ge_0.8,0,4,24:64,24,64,0.9999543,"Unquestionably, to Allah belongs whatever is in the heavens and earth. Already He knows that upon which you [stand] and [knows] the Day when they will be returned to Him and He will inform them of what they have done. And Allah is Knowing of all things."
core_probability_ge_0.8,0,5,3:109,3,109,0.9999161,To Allah belongs whatever is in the heavens and whatever is on the earth. And to Allah will [all] matters be returned.
core_probability_ge_0.8,0,6,37:16,37,16,0.9999008,"When we have died and become dust and bones, are we indeed to be resurrected?"
core_probability_ge_0.8,0,7,4:132,4,132,0.9998856,And to Allah belongs whatever is in the heavens and whatever is on the earth. And sufficient is Allah as Disposer of affairs.
core_probability_ge_0.8,0,8,17:49,17,49,0.9998856,"And they say, ""When we are bones and crumbled particles, will we [truly] be resurrected as a new creation?"""
core_probability_ge_0.8,0,9,23:37,23,37,0.9998779,"Life is not but our worldly life - we die and live, but we will not be resurrected."
core_probability_ge_0.8,0,10,23:14,23,14,0.9998627,"Then We made the sperm-drop into a clinging clot, and We made the clot into a lump [of flesh], and We made [from] the lump, bones, and We covered the bones with flesh; then We developed him into another creation. So blessed is Allah, the best of creators."
top_posterior,1,1,39:36,39,36,0.99997705,"Is not Allah sufficient for His Servant [Prophet Muhammad]? And [yet], they threaten you with those [they worship] other than Him. And whoever Allah leaves astray - for him there is no guide."
top_posterior,1,2,3:102,3,102,0.99997336,"O you who have believed, fear Allah as He should be feared and do not die except as Muslims [in submission to Him]."
top_posterior,1,3,60:9,60,9,0.99996185,"Allah only forbids you from those who fight you because of religion and expel you from your homes and aid in your expulsion - [forbids] that you make allies of them. And whoever makes allies of them, then it is those who are the wrongdoers."
top_posterior,1,4,3:150,3,150,0.99996185,"But Allah is your protector, and He is the best of helpers."
top_posterior,1,5,16:64,16,64,0.999958,"And We have not revealed to you the Book, [O Muhammad], except for you to make clear to them that wherein they have differed and as guidance and mercy for a people who believe."
top_posterior,1,6,9:119,9,119,0.999958,"O you who have believed, fear Allah and be with those who are true."
top_posterior,1,7,3:85,3,85,0.9999543,"And whoever desires other than Islam as religion - never will it be accepted from him, and he, in the Hereafter, will be among the losers."
top_posterior,1,8,21:36,21,36,0.9999466,"And when those who disbelieve see you, [O Muhammad], they take you not except in ridicule, [saying], ""Is this the one who insults your gods?"" And they are, at the mention of the Most Merciful, disbelievers."
top_posterior,1,9,61:3,61,3,0.9999466,Great is hatred in the sight of Allah that you say what you do not do.
top_posterior,1,10,10:105,10,105,0.9999427,"And [commanded], 'Direct your face toward the religion, inclining to truth, and never be of those who associate others with Allah;"
core_probability_ge_0.8,1,1,39:36,39,36,0.99997705,"Is not Allah sufficient for His Servant [Prophet Muhammad]? And [yet], they threaten you with those [they worship] other than Him. And whoever Allah leaves astray - for him there is no guide."
core_probability_ge_0.8,1,2,3:102,3,102,0.99997336,"O you who have believed, fear Allah as He should be feared and do not die except as Muslims [in submission to Him]."
core_probability_ge_0.8,1,3,60:9,60,9,0.99996185,"Allah only forbids you from those who fight you because of religion and expel you from your homes and aid in your expulsion - [forbids] that you make allies of them. And whoever makes allies of them, then it is those who are the wrongdoers."
core_probability_ge_0.8,1,4,3:150,3,150,0.99996185,"But Allah is your protector, and He is the best of helpers."
core_probability_ge_0.8,1,5,16:64,16,64,0.999958,"And We have not revealed to you the Book, [O Muhammad], except for you to make clear to them that wherein they have differed and as guidance and mercy for a people who believe."
core_probability_ge_0.8,1,6,9:119,9,119,0.999958,"O you who have believed, fear Allah and be with those who are true."
core_probability_ge_0.8,1,7,3:85,3,85,0.9999543,"And whoever desires other than Islam as religion - never will it be accepted from him, and he, in the Hereafter, will be among the losers."
core_probability_ge_0.8,1,8,21:36,21,36,0.9999466,"And when those who disbelieve see you, [O Muhammad], they take you not except in ridicule, [saying], ""Is this the one who insults your gods?"" And they are, at the mention of the Most Merciful, disbelievers."
core_probability_ge_0.8,1,9,61:3,61,3,0.9999466,Great is hatred in the sight of Allah that you say what you do not do.
core_probability_ge_0.8,1,10,10:105,10,105,0.9999427,"And [commanded], 'Direct your face toward the religion, inclining to truth, and never be of those who associate others with Allah;"
top_posterior,2,1,22:50,22,50,0.9998513,And those who have believed and done righteous deeds - for them is forgiveness and noble provision.
top_posterior,2,2,41:46,41,46,0.99982446,Whoever does righteousness - it is for his [own] soul; and whoever does evil [does so] against it. And your Lord is not ever unjust to [His] servants.
top_posterior,2,3,38:61,38,61,0.99978644,"They will say, ""Our Lord, whoever brought this upon us - increase for him double punishment in the Fire."""
top_posterior,2,4,18:95,18,95,0.99973303,"He said, ""That in which my Lord has established me is better [than what you offer], but assist me with strength; I will make between you and them a dam."
top_posterior,2,5,15:56,15,56,0.9997215,"He said, ""And who despairs of the mercy of his Lord except for those astray?"""
top_posterior,2,6,30:44,30,44,0.9996301,"Whoever disbelieves - upon him is [the consequence of] his disbelief. And whoever does righteousness - they are for themselves preparing,"
top_posterior,2,7,22:77,22,77,0.9996301,"O you who have believed, bow and prostrate and worship your Lord and do good - that you may succeed."
top_posterior,2,8,60:5,60,5,0.99959576,"Our Lord, make us not [objects of] torment for the disbelievers and forgive us, our Lord. Indeed, it is You who is the Exalted in Might, the Wise."""
top_posterior,2,9,11:3,11,3,0.9995881,"And [saying], ""Seek forgiveness of your Lord and repent to Him, [and] He will let you enjoy a good provision for a specified term and give every doer of favor his favor. But if you turn away, then indeed, I fear for you the punishment of a great Day."
top_posterior,2,10,18:105,18,105,0.99948895,"Those are the ones who disbelieve in the verses of their Lord and in [their] meeting Him, so their deeds have become worthless; and We will not assign to them on the Day of Resurrection any importance."
core_probability_ge_0.8,2,1,22:50,22,50,0.9998513,And those who have believed and done righteous deeds - for them is forgiveness and noble provision.
core_probability_ge_0.8,2,2,41:46,41,46,0.99982446,Whoever does righteousness - it is for his [own] soul; and whoever does evil [does so] against it. And your Lord is not ever unjust to [His] servants.
core_probability_ge_0.8,2,3,38:61,38,61,0.99978644,"They will say, ""Our Lord, whoever brought this upon us - increase for him double punishment in the Fire."""
core_probability_ge_0.8,2,4,18:95,18,95,0.99973303,"He said, ""That in which my Lord has established me is better [than what you offer], but assist me with strength; I will make between you and them a dam."
core_probability_ge_0.8,2,5,15:56,15,56,0.9997215,"He said, ""And who despairs of the mercy of his Lord except for those astray?"""
core_probability_ge_0.8,2,6,30:44,30,44,0.9996301,"Whoever disbelieves - upon him is [the consequence of] his disbelief. And whoever does righteousness - they are for themselves preparing,"
core_probability_ge_0.8,2,7,22:77,22,77,0.9996301,"O you who have believed, bow and prostrate and worship your Lord and do good - that you may succeed."
core_probability_ge_0.8,2,8,60:5,60,5,0.99959576,"Our Lord, make us not [objects of] torment for the disbelievers and forgive us, our Lord. Indeed, it is You who is the Exalted in Might, the Wise."""
core_probability_ge_0.8,2,9,11:3,11,3,0.9995881,"And [saying], ""Seek forgiveness of your Lord and repent to Him, [and] He will let you enjoy a good provision for a specified term and give every doer of favor his favor. But if you turn away, then indeed, I fear for you the punishment of a great Day."
core_probability_ge_0.8,2,10,18:105,18,105,0.99948895,"Those are the ones who disbelieve in the verses of their Lord and in [their] meeting Him, so their deeds have become worthless; and We will not assign to them on the Day of Resurrection any importance."
top_posterior,3,1,53:33,53,33,1.0,Have you seen the one who turned away
top_posterior,3,2,78:1,78,1,1.0,About what are they asking one another?
top_posterior,3,3,71:6,71,6,0.9999923,But my invitation increased them not except in flight.
top_posterior,3,4,80:12,80,12,0.9999923,So whoever wills may remember it.
top_posterior,3,5,70:41,70,41,0.9999923,To replace them with better than them; and We are not to be outdone.
top_posterior,3,6,23:65,23,65,0.99998474,"Do not cry out today. Indeed, by Us you will not be helped."
top_posterior,3,7,54:15,54,15,0.99998474,"And We left it as a sign, so is there any who will remember?"
top_posterior,3,8,69:25,69,25,0.99998474,"But as for he who is given his record in his left hand, he will say, ""Oh, I wish I had not been given my record"
top_posterior,3,9,71:9,71,9,0.99998474,Then I announced to them and [also] confided to them secretly
top_posterior,3,10,56:87,56,87,0.99998474,"Bring it back, if you should be truthful?"
core_probability_ge_0.8,3,1,53:33,53,33,1.0,Have you seen the one who turned away
core_probability_ge_0.8,3,2,78:1,78,1,1.0,About what are they asking one another?
core_probability_ge_0.8,3,3,71:6,71,6,0.9999923,But my invitation increased them not except in flight.
core_probability_ge_0.8,3,4,80:12,80,12,0.9999923,So whoever wills may remember it.
core_probability_ge_0.8,3,5,70:41,70,41,0.9999923,To replace them with better than them; and We are not to be outdone.
core_probability_ge_0.8,3,6,23:65,23,65,0.99998474,"Do not cry out today. Indeed, by Us you will not be helped."
core_probability_ge_0.8,3,7,54:15,54,15,0.99998474,"And We left it as a sign, so is there any who will remember?"
core_probability_ge_0.8,3,8,69:25,69,25,0.99998474,"But as for he who is given his record in his left hand, he will say, ""Oh, I wish I had not been given my record"
core_probability_ge_0.8,3,9,71:9,71,9,0.99998474,Then I announced to them and [also] confided to them secretly
core_probability_ge_0.8,3,10,56:87,56,87,0.99998474,"Bring it back, if you should be truthful?"
top_posterior,4,1,56:43,56,43,1.0,"And a shade of black smoke,"
top_posterior,4,2,40:72,40,72,1.0,In boiling water; then in the Fire they will be filled [with flame].
top_posterior,4,3,44:46,44,46,1.0,Like the boiling of scalding water.
top_posterior,4,4,56:6,56,6,1.0,And become dust dispersing.
top_posterior,4,5,84:18,84,18,1.0,And [by] the moon when it becomes full
top_posterior,4,6,77:10,77,10,1.0,And when the mountains are blown away
top_posterior,4,7,86:11,86,11,1.0,By the sky which returns [rain]
top_posterior,4,8,77:3,77,3,1.0,And [by] the winds that spread [clouds]
top_posterior,4,9,51:1,51,1,1.0,By those [winds] scattering [dust] dispersing
top_posterior,4,10,91:2,91,2,1.0,And [by] the moon when it follows it
core_probability_ge_0.8,4,1,56:43,56,43,1.0,"And a shade of black smoke,"
core_probability_ge_0.8,4,2,40:72,40,72,1.0,In boiling water; then in the Fire they will be filled [with flame].
core_probability_ge_0.8,4,3,44:46,44,46,1.0,Like the boiling of scalding water.
core_probability_ge_0.8,4,4,56:6,56,6,1.0,And become dust dispersing.
core_probability_ge_0.8,4,5,84:18,84,18,1.0,And [by] the moon when it becomes full
core_probability_ge_0.8,4,6,77:10,77,10,1.0,And when the mountains are blown away
core_probability_ge_0.8,4,7,86:11,86,11,1.0,By the sky which returns [rain]
core_probability_ge_0.8,4,8,77:3,77,3,1.0,And [by] the winds that spread [clouds]
core_probability_ge_0.8,4,9,51:1,51,1,1.0,By those [winds] scattering [dust] dispersing
core_probability_ge_0.8,4,10,91:2,91,2,1.0,And [by] the moon when it follows it
top_posterior,5,1,2:97,2,97,1.0,"Say, ""Whoever is an enemy to Gabriel - it is [none but] he who has brought the Qur'an down upon your heart, [O Muhammad], by permission of Allah, confirming that which was before it and as guidance and good tidings for the believers."""
top_posterior,5,2,27:65,27,65,1.0,"Say, ""None in the heavens and earth knows the unseen except Allah, and they do not perceive when they will be resurrected."""
top_posterior,5,3,27:59,27,59,1.0,"Say, [O Muhammad], ""Praise be to Allah, and peace upon His servants whom He has chosen. Is Allah better or what they associate with Him?"""
top_posterior,5,4,39:11,39,11,1.0,"Say, [O Muhammad], ""Indeed, I have been commanded to worship Allah, [being] sincere to Him in religion."
top_posterior,5,5,39:10,39,10,1.0,"Say, ""O My servants who have believed, fear your Lord. For those who do good in this world is good, and the earth of Allah is spacious. Indeed, the patient will be given their reward without account."""
top_posterior,5,6,18:110,18,110,1.0,"Say, ""I am only a man like you, to whom has been revealed that your god is one God. So whoever would hope for the meeting with his Lord - let him do righteous work and not associate in the worship of his Lord anyone."""
top_posterior,5,7,9:52,9,52,1.0,"Say, ""Do you await for us except one of the two best things while we await for you that Allah will afflict you with punishment from Himself or at our hands? So wait; indeed we, along with you, are waiting."""
top_posterior,5,8,6:164,6,164,1.0,"Say, ""Is it other than Allah I should desire as a lord while He is the Lord of all things? And every soul earns not [blame] except against itself, and no bearer of burdens will bear the burden of another. Then to your Lord is your return, and He will inform you concerning that over which you used to differ."""
top_posterior,5,9,34:48,34,48,1.0,"Say, ""Indeed, my Lord projects the truth. Knower of the unseen."""
top_posterior,5,10,6:14,6,14,1.0,"Say, ""Is it other than Allah I should take as a protector, Creator of the heavens and the earth, while it is He who feeds and is not fed?"" Say, [O Muhammad], ""Indeed, I have been commanded to be the first [among you] who submit [to Allah] and [was commanded], 'Do not ever be of the polytheists.' """
core_probability_ge_0.8,5,1,2:97,2,97,1.0,"Say, ""Whoever is an enemy to Gabriel - it is [none but] he who has brought the Qur'an down upon your heart, [O Muhammad], by permission of Allah, confirming that which was before it and as guidance and good tidings for the believers."""
core_probability_ge_0.8,5,2,27:65,27,65,1.0,"Say, ""None in the heavens and earth knows the unseen except Allah, and they do not perceive when they will be resurrected."""
core_probability_ge_0.8,5,3,27:59,27,59,1.0,"Say, [O Muhammad], ""Praise be to Allah, and peace upon His servants whom He has chosen. Is Allah better or what they associate with Him?"""
