audit_type,component,rank,verse_id,surah,verse,probability,translation
top_posterior,0,1,101:11,101,11,1.0,"It is a Fire, intensely hot."
top_posterior,0,2,111:3,111,3,1.0,He will [enter to] burn in a Fire of [blazing] flame
top_posterior,0,3,82:15,82,15,1.0,"They will [enter to] burn therein on the Day of Recompense,"
top_posterior,0,4,36:63,36,63,1.0,This is the Hellfire which you were promised.
top_posterior,0,5,23:104,23,104,1.0,"The Fire will sear their faces, and they therein will have taut smiles."
top_posterior,0,6,56:42,56,42,1.0,[They will be] in scorching fire and scalding water
top_posterior,0,7,22:22,22,22,1.0,"Every time they want to get out of Hellfire from anguish, they will be returned to it, and [it will be said], ""Taste the punishment of the Burning Fire!"""
top_posterior,0,8,52:14,52,14,1.0,"""This is the Fire which you used to deny."
top_posterior,0,9,2:80,2,80,1.0,"And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?"""
top_posterior,0,10,74:31,74,31,1.0,"And We have not made the keepers of the Fire except angels. And We have not made their number except as a trial for those who disbelieve - that those who were given the Scripture will be convinced and those who have believed will increase in faith and those who were given the Scripture and the believers will not doubt and that those in whose hearts is hypocrisy and the disbelievers will say, ""What does Allah intend by this as an example?"" Thus does Allah leave astray whom He wills and guides whom He wills. And none knows the soldiers of your Lord except Him. And mention of the Fire is not but a reminder to humanity."
core_probability_ge_0.8,0,1,101:11,101,11,1.0,"It is a Fire, intensely hot."
core_probability_ge_0.8,0,2,111:3,111,3,1.0,He will [enter to] burn in a Fire of [blazing] flame
core_probability_ge_0.8,0,3,82:15,82,15,1.0,"They will [enter to] burn therein on the Day of Recompense,"
core_probability_ge_0.8,0,4,36:63,36,63,1.0,This is the Hellfire which you were promised.
core_probability_ge_0.8,0,5,23:104,23,104,1.0,"The Fire will sear their faces, and they therein will have taut smiles."
core_probability_ge_0.8,0,6,56:42,56,42,1.0,[They will be] in scorching fire and scalding water
core_probability_ge_0.8,0,7,22:22,22,22,1.0,"Every time they want to get out of Hellfire from anguish, they will be returned to it, and [it will be said], ""Taste the punishment of the Burning Fire!"""
core_probability_ge_0.8,0,8,52:14,52,14,1.0,"""This is the Fire which you used to deny."
core_probability_ge_0.8,0,9,2:80,2,80,1.0,"And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?"""
core_probability_ge_0.8,0,10,74:31,74,31,1.0,"And We have not made the keepers of the Fire except angels. And We have not made their number except as a trial for those who disbelieve - that those who were given the Scripture will be convinced and those who have believed will increase in faith and those who were given the Scripture and the believers will not doubt and that those in whose hearts is hypocrisy and the disbelievers will say, ""What does Allah intend by this as an example?"" Thus does Allah leave astray whom He wills and guides whom He wills. And none knows the soldiers of your Lord except Him. And mention of the Fire is not but a reminder to humanity."
top_posterior,1,1,3:102,3,102,0.9998017,"O you who have believed, fear Allah as He should be feared and do not die except as Muslims [in submission to Him]."
top_posterior,1,2,4:113,4,113,0.9997483,"And if it was not for the favor of Allah upon you, [O Muhammad], and His mercy, a group of them would have determined to mislead you. But they do not mislead except themselves, and they will not harm you at all. And Allah has revealed to you the Book and wisdom and has taught you that which you did not know. And ever has the favor of Allah upon you been great."
top_posterior,1,3,39:2,39,2,0.9997444,"Indeed, We have sent down to you the Book, [O Muhammad], in truth. So worship Allah, [being] sincere to Him in religion."
top_posterior,1,4,8:49,8,49,0.99972534,"[Remember] when the hypocrites and those in whose hearts was disease said, ""Their religion has deluded those [Muslims]."" But whoever relies upon Allah - then indeed, Allah is Exalted in Might and Wise."
top_posterior,1,5,10:105,10,105,0.9997101,"And [commanded], 'Direct your face toward the religion, inclining to truth, and never be of those who associate others with Allah;"
top_posterior,1,6,21:36,21,36,0.9995881,"And when those who disbelieve see you, [O Muhammad], they take you not except in ridicule, [saying], ""Is this the one who insults your gods?"" And they are, at the mention of the Most Merciful, disbelievers."
top_posterior,1,7,16:64,16,64,0.99958426,"And We have not revealed to you the Book, [O Muhammad], except for you to make clear to them that wherein they have differed and as guidance and mercy for a people who believe."
top_posterior,1,8,42:52,42,52,0.9995767,"And thus We have revealed to you an inspiration of Our command. You did not know what is the Book or [what is] faith, but We have made it a light by which We guide whom We will of Our servants. And indeed, [O Muhammad], you guide to a straight path -"
top_posterior,1,9,10:94,10,94,0.9995576,"So if you are in doubt, [O Muhammad], about that which We have revealed to you, then ask those who have been reading the Scripture before you. The truth has certainly come to you from your Lord, so never be among the doubters."
top_posterior,1,10,7:65,7,65,0.9995462,"And to the 'Aad [We sent] their brother Hud. He said, ""O my people, worship Allah; you have no deity other than Him. Then will you not fear Him?"""
core_probability_ge_0.8,1,1,3:102,3,102,0.9998017,"O you who have believed, fear Allah as He should be feared and do not die except as Muslims [in submission to Him]."
core_probability_ge_0.8,1,2,4:113,4,113,0.9997483,"And if it was not for the favor of Allah upon you, [O Muhammad], and His mercy, a group of them would have determined to mislead you. But they do not mislead except themselves, and they will not harm you at all. And Allah has revealed to you the Book and wisdom and has taught you that which you did not know. And ever has the favor of Allah upon you been great."
core_probability_ge_0.8,1,3,39:2,39,2,0.9997444,"Indeed, We have sent down to you the Book, [O Muhammad], in truth. So worship Allah, [being] sincere to Him in religion."
core_probability_ge_0.8,1,4,8:49,8,49,0.99972534,"[Remember] when the hypocrites and those in whose hearts was disease said, ""Their religion has deluded those [Muslims]."" But whoever relies upon Allah - then indeed, Allah is Exalted in Might and Wise."
core_probability_ge_0.8,1,5,10:105,10,105,0.9997101,"And [commanded], 'Direct your face toward the religion, inclining to truth, and never be of those who associate others with Allah;"
core_probability_ge_0.8,1,6,21:36,21,36,0.9995881,"And when those who disbelieve see you, [O Muhammad], they take you not except in ridicule, [saying], ""Is this the one who insults your gods?"" And they are, at the mention of the Most Merciful, disbelievers."
core_probability_ge_0.8,1,7,16:64,16,64,0.99958426,"And We have not revealed to you the Book, [O Muhammad], except for you to make clear to them that wherein they have differed and as guidance and mercy for a people who believe."
core_probability_ge_0.8,1,8,42:52,42,52,0.9995767,"And thus We have revealed to you an inspiration of Our command. You did not know what is the Book or [what is] faith, but We have made it a light by which We guide whom We will of Our servants. And indeed, [O Muhammad], you guide to a straight path -"
core_probability_ge_0.8,1,9,10:94,10,94,0.9995576,"So if you are in doubt, [O Muhammad], about that which We have revealed to you, then ask those who have been reading the Scripture before you. The truth has certainly come to you from your Lord, so never be among the doubters."
core_probability_ge_0.8,1,10,7:65,7,65,0.9995462,"And to the 'Aad [We sent] their brother Hud. He said, ""O my people, worship Allah; you have no deity other than Him. Then will you not fear Him?"""
