surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,dominant_membership,membership_entropy
2,57,2:57,"And We shaded you with clouds and sent down to you manna and quails, [saying], ""Eat from the good things with which We have provided you."" And they wronged Us not - but they were [only] wronging themselves.",8.6423384e-08,7.5810895e-09,1.29276e-06,0.9917941,5.897527e-06,0.0005365178,6.7666944e-10,0.0076643927,3,0.04963699105056615
2,58,2:58,"And [recall] when We said, ""Enter this city and eat from it wherever you will in [ease and] abundance, and enter the gate bowing humbly and say, 'Relieve us of our burdens.' We will [then] forgive your sins for you, and We will increase the doers of good [in goodness and reward].""",1.9482022e-10,1.1689246e-11,8.520718e-10,0.054026246,1.8711269e-08,0.94597226,4.669859e-10,2.226236e-07,5,0.21020899557091052
2,59,2:59,"But those who wronged changed [those words] to a statement other than that which had been said to them, so We sent down upon those who wronged a punishment from the sky because they were defiantly disobeying.",1.4317881e-09,2.397833e-07,1.7755204e-06,0.69852275,1.0419402e-07,0.30137902,3.5834113e-12,9.5324416e-05,3,0.6130026200429286
2,60,2:60,"And [recall] when Moses prayed for water for his people, so We said, ""Strike with your staff the stone."" And there gushed forth from it twelve springs, and every people knew its watering place. ""Eat and drink from the provision of Allah, and do not commit abuse on the earth, spreading corruption.""",1.3622633e-06,0.58003753,5.4531733e-07,0.39340532,0.026556952,1.3317934e-06,8.8886143e-10,1.3018304e-07,1,0.7793456381164523
2,61,2:61,"And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So call upon your Lord to bring forth for us from the earth its green herbs and its cucumbers and its garlic and its lentils and its onions."" [Moses] said, ""Would you exchange what is better for what is less? Go into [any] settlement and indeed, you will have what you have asked."" And they were covered with humiliation and poverty and returned with anger from Allah [upon them]. That was because they [repeatedly] disbelieved in the signs of Allah and killed the prophets without right. That was because they disobeyed and were [habitually] transgressing.",2.0507025e-06,0.25929606,6.3436884e-10,0.28386557,0.45683548,3.2494637e-07,1.955387e-10,3.1325662e-09,4,1.0653841766139194
2,62,2:62,"Indeed, those who believed and those who were Jews or Christians or Sabeans [before Prophet Muhammad] - those [among them] who believed in Allah and the Last Day and did righteousness - will have their reward with their Lord, and no fear will there be concerning them, nor will they grieve.",6.281663e-08,0.50799084,2.9091899e-08,0.49109358,1.4795791e-08,0.00091555575,9.0223056e-14,3.8116e-11,1,0.6996918386420513
2,63,2:63,"And [recall] when We took your covenant, [O Children of Israel, to abide by the Torah] and We raised over you the mount, [saying], ""Take what We have given you with determination and remember what is in it that perhaps you may become righteous.""",1.0342567e-09,5.708646e-07,2.2128983e-09,0.14909899,0.85086083,3.5380435e-05,3.2650918e-09,3.6915196e-07,4,0.42155312684607577
2,64,2:64,"Then you turned away after that. And if not for the favor of Allah upon you and His mercy, you would have been among the losers.",1.15697505e-08,0.67360014,1.6196846e-07,0.32638597,1.0325636e-05,2.2071582e-08,1.1627788e-10,2.4351286e-07,1,0.6317234371646611
2,65,2:65,"And you had already known about those who transgressed among you concerning the sabbath, and We said to them, ""Be apes, despised.""",8.3344426e-13,8.096307e-07,7.703857e-08,0.99942803,8.096218e-06,8.264835e-10,4.2210846e-11,0.0005664078,3,0.004913936019111282
2,66,2:66,And We made it a deterrent punishment for those who were present and those who succeeded [them] and a lesson for those who fear Allah.,1.7853047e-09,0.08436177,4.8297856e-08,0.91563743,1.5006351e-06,8.972047e-09,1.5297725e-12,9.410673e-07,3,0.2893300916864587
2,67,2:67,"And [recall] when Moses said to his people, ""Indeed, Allah commands you to slaughter a cow."" They said, ""Do you take us in ridicule?"" He said, ""I seek refuge in Allah from being among the ignorant.""",5.3361395e-09,0.998361,1.8026802e-09,0.0016356014,3.4811442e-06,3.0432854e-08,4.0744418e-11,1.765551e-14,1,0.0121756828294784
2,68,2:68,"They said, ""Call upon your Lord to make clear to us what it is."" [Moses] said, ""[Allah] says, 'It is a cow which is neither old nor virgin, but median between that,' so do what you are commanded.""",1.0252656e-08,0.2553754,0.0005444971,0.7277188,0.016361387,8.960067e-11,5.221521e-10,1.1635002e-06,3,0.6512912416245071
2,69,2:69,"They said, ""Call upon your Lord to show us what is her color."" He said, ""He says, 'It is a yellow cow, bright in color - pleasing to the observers.' """,3.1184425e-06,2.697202e-06,0.03255316,0.9091846,0.00016136371,1.698292e-11,3.4679113e-09,0.058098283,3,0.36486034708524584
2,70,2:70,"They said, ""Call upon your Lord to make clear to us what it is. Indeed, [all] cows look alike to us. And indeed we, if Allah wills, will be guided.""",2.5483216e-10,0.09487653,1.2786114e-05,0.9049907,7.413176e-05,2.98475e-10,1.2194043e-11,4.2366817e-05,3,0.3150726409966815
2,71,2:71,"He said, ""He says, 'It is a cow neither trained to plow the earth nor to irrigate the field, one free from fault with no spot upon her.' "" They said, ""Now you have come with the truth."" So they slaughtered her, but they could hardly do it.",8.9741015e-09,0.0005518073,1.4881166e-06,0.99942034,1.1018702e-05,5.3015288e-08,5.4819455e-11,1.2750169e-05,3,0.005009823221059977
2,72,2:72,"And [recall] when you slew a man and disputed over it, but Allah was to bring out that which you were concealing.",5.525012e-08,0.9738808,1.1704663e-07,0.026116315,3.530167e-07,4.210783e-08,1.3652723e-11,1.8321076e-11,1,0.12098287309037255
2,73,2:73,"So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows you His signs that you might reason.",4.1647388e-10,0.42983547,5.4987477e-09,0.5701655,5.660407e-11,7.5125895e-12,6.5216685e-14,1.5724532e-07,3,0.6832706324846869
2,74,2:74,"Then your hearts became hardened after that, being like stones or even harder. For indeed, there are stones from which rivers burst forth, and there are some of them that split open and water comes out, and there are some of them that fall down for fear of Allah. And Allah is not unaware of what you do.",3.6838595e-11,8.783909e-05,9.028974e-09,0.9998474,8.42585e-10,2.831778e-08,3.2248164e-14,6.42821e-05,3,0.0015941372365760212
2,75,2:75,"Do you covet [the hope, O believers], that they would believe for you while a party of them used to hear the words of Allah and then distort the Torah after they had understood it while they were knowing?",8.574971e-11,0.91856223,0.00023450174,0.081041455,0.00016211395,4.071669e-07,2.6038193e-12,1.0501386e-10,1,0.2850491343428973
2,76,2:76,"And when they meet those who believe, they say, ""We have believed""; but when they are alone with one another, they say, ""Do you talk to them about what Allah has revealed to you so they can argue with you about it before your Lord?"" Then will you not reason?",5.379659e-07,0.9823319,1.0632726e-08,0.017666737,1.9194418e-08,2.664791e-07,1.30051445e-08,3.3518864e-13,1,0.08882790699530997
2,77,2:77,But do they not know that Allah knows what they conceal and what they declare?,6.3362818e-12,0.9789464,3.561385e-07,0.021051599,5.851684e-11,9.538097e-09,2.736129e-11,3.8171672e-14,1,0.10211144476969014
2,78,2:78,"And among them are unlettered ones who do not know the Scripture except in wishful thinking, but they are only assuming.",4.9884253e-08,0.007467907,9.376661e-08,0.9925283,2.1641304e-07,6.761364e-07,8.520762e-15,1.365577e-07,3,0.04403252892954959
2,79,2:79,"So woe to those who write the ""scripture"" with their own hands, then say, ""This is from Allah,"" in order to exchange it for a small price. Woe to them for what their hands have written and woe to them for what they earn.",6.713479e-08,0.96175665,1.48869085e-05,0.038225822,4.489131e-08,1.8626025e-08,2.1590136e-11,2.8701964e-11,1,0.162448652557486
2,80,2:80,"And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?""",1.0,4.076825e-09,3.8226128e-16,7.39021e-08,1.9685319e-15,9.712706e-20,3.1729874e-17,4.5385347e-14,0,1.2924053048567733e-06
2,81,2:81,"Yes, whoever earns evil and his sin has encompassed him - those are the companions of the Fire; they will abide therein eternally.",0.99800307,7.034884e-09,4.1087463e-12,0.0019964802,1.4324407e-13,5.750516e-09,5.372946e-17,2.559291e-10,0,0.014406044717455928
2,82,2:82,But they who believe and do righteous deeds - those are the companions of Paradise; they will abide therein eternally.,4.3143136e-05,2.2925363e-07,2.0518985e-07,0.9922103,6.052907e-12,0.0077479375,3.9393797e-11,1.2302882e-08,3,0.045857295915671795
2,83,2:83,"And [recall] when We took the covenant from the Children of Israel, [enjoining upon them], ""Do not worship except Allah; and to parents do good and to relatives, orphans, and the needy. And speak to people good [words] and establish prayer and give zakah."" Then you turned away, except a few of you, and you were refusing.",2.070816e-09,0.52208084,2.5947335e-07,0.47217917,0.0057414593,1.6788758e-06,2.630349e-09,9.718093e-10,1,0.7232917474646168
2,84,2:84,"And [recall] when We took your covenant, [saying], ""Do not shed each other's blood or evict one another from your homes."" Then you acknowledged [this] while you were witnessing.",8.757593e-09,3.8088626e-06,1.5333761e-06,0.99998474,4.579073e-06,1.2716639e-07,4.1365733e-09,1.9167367e-06,3,0.0001671055037870828
2,85,2:85,"Then, you are those [same ones who are] killing one another and evicting a party of your people from their homes, cooperating against them in sin and aggression. And if they come to you as captives, you ransom them, although their eviction was forbidden to you. So do you believe in part of the Scripture and disbelieve in part? Then what is the recompense for those who do that among you except disgrace in worldly life; and on the Day of Resurrection they will be sent back to the severest of punishment. And Allah is not unaware of what you do.",3.245043e-06,0.87758887,1.6921909e-07,0.122097455,1.8439447e-09,0.00031360774,8.804672e-13,1.162347e-13,1,0.37392974818755553
2,86,2:86,"Those are the ones who have bought the life of this world [in exchange] for the Hereafter, so the punishment will not be lightened for them, nor will they be aided.",1.8940653e-07,2.0808293e-05,2.4026754e-08,0.9972039,1.757134e-12,0.002772472,1.2982317e-12,6.850698e-08,3,0.01934536085464794
2,87,2:87,"And We did certainly give Moses the Torah and followed up after him with messengers. And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. But is it [not] that every time a messenger came to you, [O Children of Israel], with what your souls did not desire, you were arrogant? And a party [of messengers] you denied and another party you killed.",2.8440702e-12,0.00016228473,1.441405e-10,0.003959796,0.99587715,1.843623e-07,5.767151e-15,4.3927703e-10,4,0.02743719628676127
2,88,2:88,"And they said, ""Our hearts are wrapped."" But, [in fact], Allah has cursed them for their disbelief, so little is it that they believe.",7.1278386e-08,0.9827329,2.265346e-05,0.017242614,3.8464716e-08,3.8479392e-08,9.7088834e-14,1.9343385e-11,1,0.08737335368106394
2,89,2:89,"And when there came to them a Book from Allah confirming that which was with them - although before they used to pray for victory against those who disbelieved - but [then] when there came to them that which they recognized, they disbelieved in it; so the curse of Allah will be upon the disbelievers.",1.1541281e-07,0.9957443,3.913401e-07,0.0042527975,2.8540297e-09,3.9159863e-06,5.1258363e-13,5.40566e-15,1,0.02752410533167716
2,90,2:90,How wretched is that for which they sold themselves - that they would disbelieve in what Allah has revealed through [their] outrage that Allah would send down His favor upon whom He wills from among His servants. So they returned having [earned] wrath upon wrath. And for the disbelievers is a humiliating punishment.,4.2135853e-05,0.05708834,1.9756426e-06,0.9048077,0.00014891232,0.037910264,1.2968916e-10,1.3067555e-08,3,0.37978882505794703
