surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,component_probability_12,component_probability_13,component_probability_14,component_probability_15,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",1.568081e-14,6.8243603e-06,0.028312247,6.175532e-07,5.725563e-09,7.955449e-06,1.1791644e-08,1.8339772e-08,2.743451e-07,0.9077152,1.3132383e-06,4.4600685e-05,0.0014960018,0.0,1.1418282e-05,0.062402204,9,0.3724345965547796
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",8.055992e-19,6.2412796e-06,0.00012407395,1.0466699e-05,7.948001e-10,8.219132e-07,9.0556285e-11,4.7584976e-09,8.716944e-06,0.9895456,2.918869e-10,0.009369749,0.00014993377,0.0,1.7294876e-07,0.0007847221,9,0.06251664560944843
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",7.978729e-06,1.722528e-07,0.94876224,1.8215647e-10,2.5617999e-11,5.595973e-05,4.4745018e-13,6.226234e-11,9.0390873e-13,1.4406149e-08,1.7755399e-07,0.00020372622,3.001838e-06,0.0,1.2102115e-09,0.050968897,2,0.20402991632828438
1,4,1:4,Sovereign of the Day of Recompense.,6.896959e-06,2.5257853e-07,6.657308e-05,1.3615213e-05,3.8112134e-08,0.011306775,4.067438e-11,1.3503298e-10,3.1074883e-17,6.2849916e-09,6.876611e-10,0.0005696972,0.54577273,0.0,1.0912266e-09,0.44226694,12,0.747130139008496
1,5,1:5,It is You we worship and You we ask for help.,4.355513e-09,1.693846e-05,2.2034662e-07,2.3805526e-07,7.049636e-08,0.00201638,8.766446e-10,1.2490279e-09,3.3525403e-12,0.00052650605,4.824078e-08,0.0029157854,3.904839e-08,0.0,5.5976024e-10,0.9945219,15,0.03916944880208717
1,6,1:6,Guide us to the straight path -,0.04383582,1.233095e-05,3.5890788e-10,2.6502103e-09,5.3770455e-10,0.00047643218,2.0258947e-10,2.2247723e-10,1.18304815e-08,2.683456e-09,6.559012e-08,1.7647321e-11,5.1290397e-07,0.0,3.1856347e-11,0.9556711,15,0.18421204854582918
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",4.6775367e-05,0.0017559159,0.0005445054,4.698041e-08,5.053298e-07,9.948874e-06,1.3709545e-05,2.9818238e-11,1.05499005e-08,4.396736e-06,5.30941e-05,3.342266e-09,3.877337e-07,0.0,1.8259476e-10,0.99756914,15,0.018986504159975087
2,1,2:1,"Alif, Lam, Meem.",4.5103017e-05,8.1876817e-07,4.669418e-08,2.878931e-07,1.1603253e-08,6.241806e-05,1.6430121e-10,1.8218487e-11,0.0027159457,0.0023825564,1.0008977e-06,4.9561963e-09,5.6383315e-06,0.0,2.5928625e-08,0.9947875,15,0.036790969114897834
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",2.5228574e-30,2.0227913e-09,3.7709874e-12,4.0631738e-11,5.995722e-15,1.5180522e-13,8.6431735e-13,1.4180574e-17,0.9999962,2.597924e-06,1.4427576e-11,1.578767e-11,5.863594e-11,0.0,3.9313486e-11,8.893261e-10,8,3.728940782875453e-05
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",1.3828703e-08,0.029961701,2.1532186e-08,0.08674535,2.7002203e-12,0.00016661681,7.1061594e-12,1.3140791e-15,7.427373e-16,2.6576066e-05,5.0902913e-14,1.30380275e-08,3.5469825e-09,0.0,3.031211e-09,0.8830963,15,0.4286918601661472
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",1.3794997e-21,0.9328993,5.308273e-06,1.5781906e-09,2.1467782e-10,2.4215396e-07,4.1518563e-11,6.4373366e-13,0.015468035,0.05149481,2.0137746e-10,2.6938396e-06,2.953269e-07,0.0,9.255161e-08,0.00012873039,1,0.283292823693432
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",1.893632e-07,0.00028775848,6.057294e-05,4.644218e-05,1.2005005e-09,4.4042416e-05,3.7228983e-08,2.9236818e-11,7.380784e-12,6.511233e-05,2.1107571e-09,5.157624e-08,1.4238158e-07,0.0,1.58394e-07,0.99949664,15,0.004979703751006405
2,6,2:6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",2.812092e-21,0.9999962,5.10447e-13,2.5217424e-14,3.257013e-12,1.0355267e-11,7.549758e-14,1.1170569e-10,1.7400336e-17,1.4589155e-07,9.5959915e-14,2.7113533e-15,4.3157488e-11,0.0,4.8629794e-12,3.8106068e-06,1,5.366306009463269e-05
