audit_type,component,rank,verse_id,surah,verse,probability,translation
top_posterior,0,1,15:93,15,93,1.0,About what they used to do.
top_posterior,0,2,34:51,34,51,0.9999923,"And if you could see when they are terrified but there is no escape, and they will be seized from a place nearby."
top_posterior,0,3,26:73,26,73,0.9999923,"Or do they benefit you, or do they harm?"""
top_posterior,0,4,55:60,55,60,0.9999923,Is the reward for good [anything] but good?
top_posterior,0,5,56:87,56,87,0.9999923,"Bring it back, if you should be truthful?"
top_posterior,0,6,68:52,68,52,0.99998474,But it is not except a reminder to the worlds.
top_posterior,0,7,90:12,90,12,0.99998474,And what can make you know what is [breaking through] the difficult pass?
top_posterior,0,8,38:38,38,38,0.99997705,And others bound together in shackles.
top_posterior,0,9,70:41,70,41,0.99997705,To replace them with better than them; and We are not to be outdone.
top_posterior,0,10,23:65,23,65,0.99997705,"Do not cry out today. Indeed, by Us you will not be helped."
core_probability_ge_0.8,0,1,15:93,15,93,1.0,About what they used to do.
core_probability_ge_0.8,0,2,34:51,34,51,0.9999923,"And if you could see when they are terrified but there is no escape, and they will be seized from a place nearby."
core_probability_ge_0.8,0,3,26:73,26,73,0.9999923,"Or do they benefit you, or do they harm?"""
core_probability_ge_0.8,0,4,55:60,55,60,0.9999923,Is the reward for good [anything] but good?
core_probability_ge_0.8,0,5,56:87,56,87,0.9999923,"Bring it back, if you should be truthful?"
core_probability_ge_0.8,0,6,68:52,68,52,0.99998474,But it is not except a reminder to the worlds.
core_probability_ge_0.8,0,7,90:12,90,12,0.99998474,And what can make you know what is [breaking through] the difficult pass?
core_probability_ge_0.8,0,8,38:38,38,38,0.99997705,And others bound together in shackles.
core_probability_ge_0.8,0,9,70:41,70,41,0.99997705,To replace them with better than them; and We are not to be outdone.
core_probability_ge_0.8,0,10,23:65,23,65,0.99997705,"Do not cry out today. Indeed, by Us you will not be helped."
top_posterior,1,1,41:46,41,46,0.9996644,Whoever does righteousness - it is for his [own] soul; and whoever does evil [does so] against it. And your Lord is not ever unjust to [His] servants.
top_posterior,1,2,30:44,30,44,0.99948895,"Whoever disbelieves - upon him is [the consequence of] his disbelief. And whoever does righteousness - they are for themselves preparing,"
top_posterior,1,3,26:92,26,92,0.9993822,"And it will be said to them, ""Where are those you used to worship"
top_posterior,1,4,24:11,24,11,0.9992069,"Indeed, those who came with falsehood are a group among you. Do not think it bad for you; rather it is good for you. For every person among them is what [punishment] he has earned from the sin, and he who took upon himself the greater portion thereof - for him is a great punishment."
top_posterior,1,5,30:16,30,16,0.999104,"But as for those who disbelieved and denied Our verses and the meeting of the Hereafter, those will be brought into the punishment [to remain]."
top_posterior,1,6,67:6,67,6,0.99910015,"And for those who disbelieved in their Lord is the punishment of Hell, and wretched is the destination."
top_posterior,1,7,9:69,9,69,0.999062,"[You disbelievers are] like those before you; they were stronger than you in power and more abundant in wealth and children. They enjoyed their portion [of worldly enjoyment], and you have enjoyed your portion as those before you enjoyed their portion, and you have engaged [in vanities] like that in which they engaged. [It is] those whose deeds have become worthless in this world and in the Hereafter, and it is they who are the losers."
top_posterior,1,8,34:38,34,38,0.9990468,And the ones who strive against Our verses to cause [them] failure - those will be brought into the punishment [to remain].
top_posterior,1,9,18:105,18,105,0.9990011,"Those are the ones who disbelieve in the verses of their Lord and in [their] meeting Him, so their deeds have become worthless; and We will not assign to them on the Day of Resurrection any importance."
top_posterior,1,10,6:27,6,27,0.99899346,"If you could but see when they are made to stand before the Fire and will say, ""Oh, would that we could be returned [to life on earth] and not deny the signs of our Lord and be among the believers."""
core_probability_ge_0.8,1,1,41:46,41,46,0.9996644,Whoever does righteousness - it is for his [own] soul; and whoever does evil [does so] against it. And your Lord is not ever unjust to [His] servants.
core_probability_ge_0.8,1,2,30:44,30,44,0.99948895,"Whoever disbelieves - upon him is [the consequence of] his disbelief. And whoever does righteousness - they are for themselves preparing,"
core_probability_ge_0.8,1,3,26:92,26,92,0.9993822,"And it will be said to them, ""Where are those you used to worship"
core_probability_ge_0.8,1,4,24:11,24,11,0.9992069,"Indeed, those who came with falsehood are a group among you. Do not think it bad for you; rather it is good for you. For every person among them is what [punishment] he has earned from the sin, and he who took upon himself the greater portion thereof - for him is a great punishment."
core_probability_ge_0.8,1,5,30:16,30,16,0.999104,"But as for those who disbelieved and denied Our verses and the meeting of the Hereafter, those will be brought into the punishment [to remain]."
core_probability_ge_0.8,1,6,67:6,67,6,0.99910015,"And for those who disbelieved in their Lord is the punishment of Hell, and wretched is the destination."
core_probability_ge_0.8,1,7,9:69,9,69,0.999062,"[You disbelievers are] like those before you; they were stronger than you in power and more abundant in wealth and children. They enjoyed their portion [of worldly enjoyment], and you have enjoyed your portion as those before you enjoyed their portion, and you have engaged [in vanities] like that in which they engaged. [It is] those whose deeds have become worthless in this world and in the Hereafter, and it is they who are the losers."
core_probability_ge_0.8,1,8,34:38,34,38,0.9990468,And the ones who strive against Our verses to cause [them] failure - those will be brought into the punishment [to remain].
core_probability_ge_0.8,1,9,18:105,18,105,0.9990011,"Those are the ones who disbelieve in the verses of their Lord and in [their] meeting Him, so their deeds have become worthless; and We will not assign to them on the Day of Resurrection any importance."
core_probability_ge_0.8,1,10,6:27,6,27,0.99899346,"If you could but see when they are made to stand before the Fire and will say, ""Oh, would that we could be returned [to life on earth] and not deny the signs of our Lord and be among the believers."""
top_posterior,2,1,16:66,16,66,1.0,"And indeed, for you in grazing livestock is a lesson. We give you drink from what is in their bellies - between excretion and blood - pure milk, palatable to drinkers."
top_posterior,2,2,56:29,56,29,1.0,And [banana] trees layered [with fruit]
top_posterior,2,3,69:23,69,23,1.0,Its [fruit] to be picked hanging near.
top_posterior,2,4,55:52,55,52,1.0,"In both of them are of every fruit, two kinds."
top_posterior,2,5,55:68,55,68,1.0,In both of them are fruit and palm trees and pomegranates.
top_posterior,2,6,36:34,36,34,1.0,And We placed therein gardens of palm trees and grapevines and caused to burst forth therefrom some springs -
top_posterior,2,7,18:32,18,32,1.0,"And present to them an example of two men: We granted to one of them two gardens of grapevines, and We bordered them with palm trees and placed between them [fields of] crops."
top_posterior,2,8,44:52,44,52,1.0,"Within gardens and springs,"
top_posterior,2,9,56:20,56,20,1.0,And fruit of what they select
top_posterior,2,10,37:42,37,42,1.0,Fruits; and they will be honored
core_probability_ge_0.8,2,1,16:66,16,66,1.0,"And indeed, for you in grazing livestock is a lesson. We give you drink from what is in their bellies - between excretion and blood - pure milk, palatable to drinkers."
core_probability_ge_0.8,2,2,56:29,56,29,1.0,And [banana] trees layered [with fruit]
