surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",6.417885e-08,0.0,0.017923053,9.795528e-06,9.631677e-06,0.050087288,0.0014604442,0.6051348,2.3798343e-08,0.32537407,5.4350005e-15,8.120611e-09,7,0.9010875074450391
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",9.303824e-10,0.0,0.00021466945,1.8452413e-07,0.0004348137,7.170062e-06,0.00013113773,0.99290705,6.720061e-09,0.0063032587,6.438886e-20,1.0049324e-09,7,0.045443524891309095
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",2.8977913e-09,0.0,0.10815584,7.181794e-09,3.7616455e-06,0.050826002,2.9154491e-05,7.1655705e-08,6.8078093e-10,0.84096086,2.5225332e-05,3.6106934e-10,9,0.5382694699965618
1,4,1:4,Sovereign of the Day of Recompense.,6.113913e-13,0.0,0.25682515,4.6796844e-10,8.911409e-07,4.0526224e-08,0.5633123,7.578628e-10,2.7158012e-10,0.17986417,4.9468656e-09,1.9403794e-08,6,0.9809947436033519
1,5,1:5,It is You we worship and You we ask for help.,9.714992e-15,0.0,0.08550676,1.591806e-10,0.008154098,1.0325188e-08,6.181512e-09,0.00018349748,1.2790674e-09,0.9061583,1.4684892e-10,9.32501e-08,9,0.3403642544288339
1,6,1:6,Guide us to the straight path -,2.5261934e-12,0.0,0.991779,1.9116422e-11,8.0674766e-08,1.0877167e-13,1.04534806e-07,2.1382793e-09,2.832942e-10,0.008106707,0.000117698284,7.712611e-10,2,0.048289318881726356
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",1.7074384e-11,0.0,0.14524342,1.14226524e-10,2.4107283e-07,1.1249359e-06,8.6848395e-08,4.3651507e-06,4.4800056e-11,0.85472554,2.2770593e-05,1.0385401e-06,9,0.41472707773490836
2,1,2:1,"Alif, Lam, Meem.",3.8605046e-11,0.0,0.9960026,1.2179696e-08,2.1234547e-07,1.6813205e-10,3.8577314e-06,0.00078123657,1.9599789e-11,0.003210682,2.9341007e-07,1.5666746e-08,2,0.02806851710813165
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",5.435859e-12,0.0,3.1691598e-05,1.1512265e-06,6.0742977e-06,2.128903e-09,9.63046e-07,0.9999161,2.2762163e-13,4.4695727e-05,3.2793448e-25,1.4582242e-09,7,0.000962000990727455
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",1.4276011e-07,0.0,0.44736075,1.5953507e-09,2.2845941e-05,7.0875646e-11,1.0465555e-10,6.8214234e-05,2.5294583e-15,0.5525517,1.0685529e-11,4.2986426e-12,9,0.6885315476575139
