surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,component_probability_12,component_probability_13,component_probability_14,component_probability_15,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",0.29217345,1.5035066e-05,0.0029546157,3.5743165e-21,3.2015653e-06,6.411013e-07,0.0015230424,0.03826463,1.3673611e-05,1.5449412e-08,0.00034636495,6.403527e-09,0.6647018,3.0935105e-08,4.575596e-07,0.0,12,0.7860601325242716
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",0.0079638725,2.4228052e-07,0.00033319756,6.3302174e-27,5.7200805e-10,1.4847209e-05,2.2316884e-05,4.6182126e-05,0.00080544554,4.7207283e-09,5.94968e-06,9.875348e-10,0.99079967,3.0753403e-10,7.874712e-06,0.0,12,0.057084993839866496
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",0.21754105,5.8579883e-09,3.0341094e-05,2.8869152e-07,1.055595e-06,6.1653974e-11,0.027923115,0.7526371,2.483225e-06,1.6832971e-10,0.001864932,1.2254905e-10,5.543295e-08,8.21767e-12,5.6096155e-10,0.0,7,0.6577137078639275
1,4,1:4,Sovereign of the Day of Recompense.,0.06732324,5.974367e-10,0.7544538,4.3311427e-08,4.6554333e-10,2.9374134e-16,0.17817876,3.492292e-05,1.2556847e-06,6.389514e-11,3.7764673e-07,1.4662964e-08,5.3292433e-09,3.346881e-11,3.9721504e-06,0.0,2,0.7020149776238218
1,5,1:5,It is You we worship and You we ask for help.,0.9836105,1.4892265e-10,4.6212893e-08,5.5896534e-14,2.494673e-08,3.469692e-12,0.01201013,5.6031624e-08,0.004257228,4.4275278e-10,6.5783574e-08,2.2448083e-08,0.00012422314,7.969892e-10,4.8095252e-08,0.0,0,0.09372575524561694
1,6,1:6,Guide us to the straight path -,0.002757411,2.3023472e-11,1.554359e-07,0.00010203359,1.9710411e-08,4.6942583e-09,0.9971354,1.6611297e-11,2.6277126e-08,4.586071e-11,2.8344177e-06,2.0163805e-10,1.8346271e-09,9.5549846e-11,2.4469976e-10,0.0,6,0.020088494378751105
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",0.866604,3.619492e-10,8.892868e-07,2.8424614e-07,5.7647605e-05,9.446023e-08,0.13310806,0.00012773981,3.6016064e-07,3.6755494e-11,5.8504964e-05,6.6152774e-07,1.0647151e-05,2.9434756e-05,3.4390226e-08,0.0,0,0.39524012005597
2,1,2:1,"Alif, Lam, Meem.",0.00882395,3.8559033e-08,8.3378745e-06,2.9042098e-09,1.9637632e-06,0.0017556748,0.9873021,1.6806556e-08,2.4298765e-07,2.2380587e-11,0.0002046141,1.9805832e-08,0.0019002208,6.007826e-10,1.2055038e-07,0.0,6,0.0792710646035046
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",1.0695245e-09,8.505968e-11,1.7583159e-10,1.6081e-41,2.7262734e-11,0.9999962,1.5336706e-11,1.1735438e-12,2.2713538e-10,8.10309e-18,5.2433174e-10,1.8169113e-14,4.547513e-06,2.119104e-12,5.391318e-11,0.0,5,5.980011166964652e-05
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",0.93019855,9.520245e-10,3.164273e-09,1.0800546e-14,5.280683e-14,1.0129081e-14,0.054549977,2.7503846e-09,7.735787e-06,2.414426e-16,5.7756917e-08,1.1309996e-12,6.244997e-05,7.376394e-12,0.015178059,0.0,0,0.29023371174513485
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",0.0010206518,2.755092e-07,1.1906556e-06,5.6785593e-31,5.359189e-10,0.164845,1.2518449e-05,1.537776e-05,1.3178507e-05,4.7364836e-13,0.00017518671,1.0080884e-09,0.83391684,2.3364563e-10,1.6464197e-09,0.0,12,0.45765672317910633
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",0.9945181,2.6414916e-08,8.8851316e-08,3.948736e-12,3.3838557e-10,5.792427e-12,0.0054677036,2.6454558e-07,1.0051946e-06,2.5882614e-12,1.3117613e-06,9.20083e-11,9.735589e-06,5.7534786e-09,2.995878e-06,0.0,0,0.034135674319932
2,6,2:6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",0.6214781,8.558612e-08,7.009282e-07,2.6026602e-25,6.83941e-10,5.1472184e-11,0.0007548413,2.606579e-07,2.2332874e-07,3.9981288e-07,0.13906676,4.6144894e-08,0.23869982,4.776265e-09,9.7505046e-11,0.0,0,0.917361097546278
2,7,2:7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",0.0007617199,2.454567e-05,1.3797523e-06,1.4717766e-31,2.281014e-06,2.1670289e-08,2.3576908e-05,2.5007435e-07,2.520791e-06,8.005072e-13,0.00017182976,1.322294e-10,0.9990125,9.25205e-09,5.8592203e-08,0.0,12,0.008543580818973207
2,8,2:8,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",0.00048391643,3.163549e-09,0.01121656,2.95622e-31,1.922174e-09,6.0551564e-09,2.0239919e-05,3.5942653e-06,1.5266358e-05,4.7246617e-14,0.00088270096,5.3462613e-11,0.98737735,1.4342966e-10,1.0364819e-06,0.0,12,0.07325834182658933
2,9,2:9,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.",0.0034053638,5.9843496e-05,2.1951772e-07,3.0983612e-25,2.3612627e-06,2.247668e-10,0.00804718,1.6782938e-05,0.000114064904,6.097847e-11,1.1001398e-05,4.3352752e-08,0.9883421,6.5018866e-09,1.03603476e-07,0.0,12,0.07171141682900165
2,10,2:10,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.",0.0038565455,2.5687054e-06,1.15091424e-07,6.404235e-24,9.586372e-06,1.8336696e-08,0.008007617,9.034948e-06,4.240895e-08,1.696725e-11,8.968507e-05,1.4852665e-10,0.9880255,2.8713356e-11,1.6150554e-09,0.0,12,0.07308030166227787
2,11,2:11,"And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""",0.36178106,3.7658058e-08,3.7575116e-08,9.700092e-10,6.549112e-08,1.2150094e-15,0.638146,5.819468e-05,3.203164e-07,7.550316e-11,4.0325176e-06,6.5806155e-08,4.732437e-06,7.873066e-12,2.3811444e-06,0.0,6,0.655190975266474
2,12,2:12,"Unquestionably, it is they who are the corrupters, but they perceive [it] not.",0.09251906,6.441705e-07,4.9169728e-08,3.4447996e-08,1.1721899e-09,1.3696422e-13,0.9074589,1.24680255e-05,5.1256757e-07,1.22308465e-11,7.454824e-08,1.1323882e-07,4.494962e-06,6.2577667e-09,1.0992206e-06,0.0,6,0.30857991101824417
2,13,2:13,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.",0.9647698,1.9961496e-06,9.928889e-07,2.506215e-15,3.4291227e-06,3.2342e-09,0.028016368,1.758193e-05,1.7181705e-07,3.2813312e-12,1.2582409e-05,9.24186e-08,0.0071540354,6.7892185e-09,2.3765992e-05,0.0,0,0.17077623400976805
2,14,2:14,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers.""",0.98601866,1.6282575e-08,7.256427e-08,1.907074e-20,7.502913e-11,1.2330355e-10,0.0007720318,4.8232704e-07,3.2844454e-07,3.0608363e-12,1.0010661e-05,2.6168793e-08,0.01319835,1.563874e-08,3.4740681e-09,0.0,0,0.07666336953275002
2,15,2:15,[But] Allah mocks them and prolongs them in their transgression [while] they wander blindly.,0.00048203534,2.3612692e-08,1.0912534e-06,2.1194936e-33,9.230137e-06,6.63767e-08,1.9102038e-06,3.734368e-05,3.2545265e-06,3.6051592e-11,2.1359763e-05,2.1646393e-10,0.99944323,1.5710204e-07,6.5487875e-08,0.0,12,0.005041913034804186
2,16,2:16,"Those are the ones who have purchased error [in exchange] for guidance, so their transaction has brought no profit, nor were they guided.",0.018609036,3.996047e-11,5.4676892e-08,5.7536134e-08,1.5902711e-09,1.6022654e-11,0.5914823,2.9345962e-05,1.2593345e-07,1.2151577e-15,5.6346714e-08,1.5048954e-12,2.7538943e-07,7.294438e-11,0.38987657,0.0,6,0.7522914775481979
2,17,2:17,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see.",0.00018645255,7.9797906e-07,4.9640184e-06,1.1393492e-33,2.1690565e-07,8.284828e-07,8.766263e-06,1.932705e-07,1.2517057e-06,3.35326e-10,7.229251e-05,2.5109092e-11,0.99165034,0.008045339,2.6549515e-05,0.0,12,0.04989366698279993
2,18,2:18,"Deaf, dumb and blind - so they will not return [to the right path].",0.024812983,2.5232897e-08,4.5638963e-08,0.00024753963,8.11371e-08,2.7832673e-13,0.9694181,1.2898185e-07,5.257062e-08,1.2133523e-13,0.0055175913,4.2580228e-11,2.3474295e-08,1.1924453e-08,3.8287834e-10,0.0,6,0.15257995016031256
2,19,2:19,"Or [it is] like a rainstorm from the sky within which is darkness, thunder and lightning. They put their fingers in their ears against the thunderclaps in dread of death. But Allah is encompassing of the disbelievers.",0.051794656,1.13181386e-07,5.355524e-05,4.218541e-19,1.5828951e-07,1.0426758e-07,5.451245e-05,6.1896594e-07,0.00024457267,1.8794251e-08,0.0008968032,1.9903287e-10,0.9343809,0.012574176,8.267577e-10,0.0,12,0.2811833627040841
