audit_type,component,rank,verse_id,surah,verse,probability,translation
top_posterior,0,1,18:95,18,95,0.9997483,"He said, ""That in which my Lord has established me is better [than what you offer], but assist me with strength; I will make between you and them a dam."
top_posterior,0,2,22:77,22,77,0.999691,"O you who have believed, bow and prostrate and worship your Lord and do good - that you may succeed."
top_posterior,0,3,21:83,21,83,0.999508,"And [mention] Job, when he called to his Lord, ""Indeed, adversity has touched me, and you are the Most Merciful of the merciful."""
top_posterior,0,4,26:83,26,83,0.99943167,"[And he said], ""My Lord, grant me authority and join me with the righteous."
top_posterior,0,5,30:33,30,33,0.9993822,"And when adversity touches the people, they call upon their Lord, turning in repentance to Him. Then when He lets them taste mercy from Him, at once a party of them associate others with their Lord,"
top_posterior,0,6,106:3,106,3,0.9993517,"Let them worship the Lord of this House,"
top_posterior,0,7,38:35,38,35,0.9993517,"He said, ""My Lord, forgive me and grant me a kingdom such as will not belong to anyone after me. Indeed, You are the Bestower."""
top_posterior,0,8,25:73,25,73,0.9993212,"And those who, when reminded of the verses of their Lord, do not fall upon them deaf and blind."
top_posterior,0,9,18:105,18,105,0.9992297,"Those are the ones who disbelieve in the verses of their Lord and in [their] meeting Him, so their deeds have become worthless; and We will not assign to them on the Day of Resurrection any importance."
top_posterior,0,10,2:129,2,129,0.9991383,"Our Lord, and send among them a messenger from themselves who will recite to them Your verses and teach them the Book and wisdom and purify them. Indeed, You are the Exalted in Might, the Wise."""
core_probability_ge_0.8,0,1,18:95,18,95,0.9997483,"He said, ""That in which my Lord has established me is better [than what you offer], but assist me with strength; I will make between you and them a dam."
core_probability_ge_0.8,0,2,22:77,22,77,0.999691,"O you who have believed, bow and prostrate and worship your Lord and do good - that you may succeed."
core_probability_ge_0.8,0,3,21:83,21,83,0.999508,"And [mention] Job, when he called to his Lord, ""Indeed, adversity has touched me, and you are the Most Merciful of the merciful."""
core_probability_ge_0.8,0,4,26:83,26,83,0.99943167,"[And he said], ""My Lord, grant me authority and join me with the righteous."
core_probability_ge_0.8,0,5,30:33,30,33,0.9993822,"And when adversity touches the people, they call upon their Lord, turning in repentance to Him. Then when He lets them taste mercy from Him, at once a party of them associate others with their Lord,"
core_probability_ge_0.8,0,6,106:3,106,3,0.9993517,"Let them worship the Lord of this House,"
